"IDENTIFICADOR_NOTA_FISCAL";"DATA_EMISSAO";"OPERACAO_FISCAL";"TIPO_TRANSACAO";"CODIGO_PEDIDO_MULTICANAL";"CODIGO_FILIAL";"TRANSACAO_CLIENTE";"CODIGO_NOTA_FISCAL_ORIGEM";"FORMA_PAGAMENTO";"VALOR_NOTA_FISCAL";"NUMERO_NOTA_FISCAL";"DATA_ATUALIZACAO";"LOJA_24H";"ESTADO";"ENDERECO";"BAIRRO";"CIDADE";"CEP"
487073294;"23/01/2011";1;;;104;2;;4;50.53;250669;"23/01/2011";1;SP;RUA SCHILLING;VL LEOPOLDINA;SÃO PAULO;"05302001"
487073296;"23/01/2011";1;;;230;2;;5;44.1;134923;"23/01/2011";1;SP;GENERAL FRANCISCO GLICERIO;CENTRO;SUZANO;"08674002"
487073299;"23/01/2011";1;;;138;2;;1;42.52;24826;"23/01/2011";1;SP;AVENIDA PROFESSOR ALFONSO BOVERO;PERDIZES;SÃO PAULO;"05019010"
487073301;"23/01/2011";1;;;171;2;;4;48.46;142927;"23/01/2011";0;MG;CONCEICAO DO MATO DENTRO;O PRETO;BELO HORIZONTE;"31310240"
487073302;"23/01/2011";1;;;316;2;;1;14.82;7929;"23/01/2011";0;PR;AVENIDA NOSSA SENHORA DA LUZ;JD SOCIAL;CURITIBA;"82530010"
487073303;"23/01/2011";1;;;105;2;;1;92.5;147215;"23/01/2011";0;SP;AV SANTO AMARO;ALTO  BOA VISTA;SAO PAULO;"04701200"
487073304;"23/01/2011";1;;;66;2;;1;40.67;92554;"23/01/2011";0;SP;PRAÇA PADRE DAMIÃO;VL PRUDENTE;SÃO PAULO;"03126050"
487073307;"23/01/2011";1;;;324;2;;1;203.32;9539;"23/01/2011";0;PR;MARINGA;VITORIA;LONDRINA;"86060000"
487073308;"23/01/2011";1;;;11;2;;6;21.21;155988;"23/01/2011";0;SP;R. 12 DE OUTUBRO;LAPA;SAO PAULO;"05073001"
487073309;"23/01/2011";1;;;138;2;;5;6.91;38786;"23/01/2011";1;SP;AVENIDA PROFESSOR ALFONSO BOVERO;PERDIZES;SÃO PAULO;"05019010"
